date,tq,temp,wind
2018年12月01日,多云/多云,15℃/10℃,东风1-2级/东风1-2级
2018年12月02日,小雨/小雨,15℃/12℃,南风1-2级/南风1-2级
2018年12月03日,中雨/小雨,14℃/9℃,北风1-2级/北风1-2级
2018年12月04日,小雨/多云,10℃/7℃,北风1-2级/北风1-2级
2018年12月05日,小雨/小雨,10℃/7℃,东风1-2级/东风1-2级
2018年12月06日,小雨/小雨,7℃/2℃,北风1-2级/北风1-2级
2018年12月07日,阴/阴,4℃/0℃,东北风1-2级/东北风1-2级
2018年12月08日,小雪/小雪,2℃/0℃,东北风1-2级/东北风1-2级
2018年12月09日,多云/雨夹雪,4℃/0℃,东北风1-2级/东北风1-2级
2018年12月10日,雨夹雪/雨夹雪,4℃/0℃,东北风1-2级/东北风1-2级
2018年12月11日,小雨/多云,3℃/-3℃,西北风1-2级/西北风1-2级
2018年12月12日,多云/多云,5℃/-2℃,北风1-2级/北风1-2级
2018年12月13日,晴/晴,6℃/-3℃,东北风1-2级/东北风1-2级
2018年12月14日,多云/多云,9℃/-1℃,东风1-2级/东风1-2级
2018年12月15日,多云/多云,10℃/1℃,西风1-2级/西风1-2级
2018年12月16日,晴/晴,11℃/0℃,西风1-2级/西风1-2级
2018年12月17日,晴/晴,14℃/0℃,西风1-2级/西风1-2级
2018年12月18日,阵雨/多云,16℃/4℃,南风1-2级/南风1-2级
2018年12月19日,小雨/小雨,14℃/5℃,南风1-2级/南风1-2级
2018年12月20日,多云/多云,13℃/4℃,东风1-2级/东风1-2级
2018年12月21日,多云/小雨,14℃/9℃,北风1-2级/北风1-2级
2018年12月22日,小雨/小雨,10℃/3℃,东北风1-2级/东北风1-2级
2018年12月23日,多云/多云,13℃/0℃,北风1-2级/北风1-2级
2018年12月24日,多云/小雨,11℃/2℃,东风1-2级/东风1-2级
2018年12月25日,小雨/小雨,8℃/6℃,西北风1-2级/西北风1-2级
2018年12月26日,小雨/雨夹雪,6℃/2℃,东北风1-2级/东北风1-2级
2018年12月27日,雨夹雪/多云,5℃/-1℃,东北风1-2级/东北风1-2级
2018年12月28日,多云/多云,1℃/-4℃,北风1-2级/北风1-2级
2018年12月29日,多云/多云,1℃/-4℃,北风1-2级/北风1-2级
2018年12月30日,小雪/多云,0℃/-3℃,东北风1-2级/东北风1-2级
2018年12月31日,多云/多云,3℃/-2℃,东北风1-2级/东北风1-2级
